,trait,mean,sd
IPF_01,IPF_01,0.672704702,1.095117497
MDD_04,MDD_04,0.161721446,0.439191813
Migraine_01,Migraine_01,-1.036426373,0.449346979
Migraine_02,Migraine_02,-0.901083318,0.459190435
ADHD_01,ADHD_01,0.576907817,0.582421342
AF_01,AF_01,-0.341846148,0.66350958
ALS_02,ALS_02,-0.209907437,0.351847016
Alzheimer_01,Alzheimer_01,-0.042865451,0.21935682
Alzheimer_02,Alzheimer_02,-0.148265098,0.158601787
Anorexia_01,Anorexia_01,-1.234786129,0.596963627
Anorexia_02,Anorexia_02,-1.384898999,0.53399843
ArHI_01,ArHI_01,0.063973017,0.054545976
ASD_01,ASD_01,0.121000225,0.402937623
Asthma_01,Asthma_01,0.338249868,0.55249409
BIP_02,BIP_02,0.360696926,0.727373939
BreastCancer_01,BreastCancer_01,-1.046934835,0.664804806
CAD_01,CAD_01,1.596580088,0.615556455
CD_01,CD_01,0.310843425,1.259870245
CeliacDisease_01,CeliacDisease_01,0.55872567,1.971957493
CKD_01,CKD_01,-1.163937577,0.501589798
CNT_02,CNT_02,-0.800799651,0.316915036
COB_01,COB_01,0.056947571,0.221562127
CoronaryAtherosclerosis_01,CoronaryAtherosclerosis_01,1.488192398,0.598149917
DivD_01,DivD_01,0.414597867,0.509922239
Glaucoma_01,Glaucoma_01,-2.865495622,0.690334379
GORD_01,GORD_01,0.12978504,0.252543885
HairColor_01,HairColor_01,0.680908958,0.176857048
HeartFailure_01,HeartFailure_01,-0.337002726,0.227733577
IBD_02,IBD_02,0.130123101,1.084010433
IBS_01,IBS_01,0.06998835,0.176390567
LRA_01,LRA_01,0.234651477,0.072621194
LungCancer_01,LungCancer_01,-0.027264166,0.418016876
MDD_02,MDD_02,0.807972629,0.455153042
MDD_03,MDD_03,0.784534566,0.343428735
Melanoma_01,Melanoma_01,0.54301379,0.374422707
Parkinsons_01,Parkinsons_01,-0.085349778,0.537416001
PBC_01,PBC_01,-0.672713363,1.206759872
PUD_01,PUD_01,0.225402389,0.158439498
SCZ_02,SCZ_02,-2.024043925,1.020677406
SLE_01,SLE_01,-3.209246838,1.47158296
Stroke_01,Stroke_01,-0.946843784,0.185910249
T2D_03,T2D_03,-1.460810674,0.773297765
T2D_06,T2D_06,1.90254834,0.832391364
UC_01,UC_01,-0.157343109,1.033295035
Vitiligo_01,Vitiligo_01,0.784529458,1.717327418
BMD_01,BMD_01,-0.685740549,0.574244801
BMI_02,BMI_02,-0.021462065,0.387165168
BV_01,BV_01,0.190323533,0.285815647
C3_01,C3_01,0.491495452,0.165798477
C4_01,C4_01,0.03235696,0.564093825
CRP_01,CRP_01,-0.206943704,0.441957519
EA_01,EA_01,0.181455629,0.299572067
EosCnt_01,EosCnt_01,-0.51258,0.424363545
FastingGlucose_01,FastingGlucose_01,0.319284629,0.139780755
FastingGlucose_02,FastingGlucose_02,0.256538448,0.103483128
FastingInsulin_01,FastingInsulin_01,0.0407509,0.023348549
FEV1FEC_01,FEV1FEC_01,0.115054933,0.268940822
Height_03,Height_03,1.70593988,0.736990073
HipCir_01,HipCir_01,0.056097273,0.238598382
HOMAIR_01,HOMAIR_01,0.033270704,0.012339453
Insomnia_01,Insomnia_01,0.018900368,0.10885019
Intelligence_01,Intelligence_01,-0.406301426,0.332302634
LymCnt_01,LymCnt_01,0.118744684,0.412201045
mtCNT_01,mtCNT_01,-0.175067087,0.173674113
NeuCnt_01,NeuCnt_01,0.619708759,0.378617116
PLT_02,PLT_02,0.74467585,0.539998574
RandomGlucose_01,RandomGlucose_01,0.029786317,0.142917328
RBCCnt_01,RBCCnt_01,-0.223042974,0.399004547
SBP_01,SBP_01,0.307020098,0.290297861
SleepMidpoint_01,SleepMidpoint_01,0.104790609,0.105801648
SlpDu_01,SlpDu_01,-0.129357204,0.169719723
VitD_01,VitD_01,-0.345720846,0.267788205
VitDBP_01,VitDBP_01,-0.364872475,0.790080692
UKB_35BM_2021_Alanine_aminotransferase,UKB_35BM_2021_Alanine_aminotransferase,-0.326121263,0.308377524
UKB_35BM_2021_Albumin,UKB_35BM_2021_Albumin,0.798585763,0.348009797
