,trait,mean,sd
ADHD_01,ADHD_01,0.303765319,0.57387142
AF_01,AF_01,-0.291293856,0.659991469
ALS_02,ALS_02,-0.110394031,0.337450974
Alzheimer_01,Alzheimer_01,-0.040715143,0.231453793
Alzheimer_02,Alzheimer_02,-0.144863653,0.166584324
Anorexia_01,Anorexia_01,-1.262517312,0.585321039
Anorexia_02,Anorexia_02,-1.411928526,0.523922072
ArHI_01,ArHI_01,0.05418637,0.054120795
ASD_01,ASD_01,-0.001633752,0.404695668
Asthma_01,Asthma_01,0.243096864,0.545437413
BIP_01,BIP_01,-0.170892078,0.629821301
BIP_02,BIP_02,-0.126438058,0.717655596
BreastCancer_01,BreastCancer_01,-1.14578255,0.674022267
CAD_01,CAD_01,1.384120382,0.605572496
CD_01,CD_01,0.243890044,1.275646539
CeliacDisease_01,CeliacDisease_01,0.621246096,2.100412209
CKD_01,CKD_01,-1.178025469,0.488255441
CNT_02,CNT_02,-0.698083533,0.319223371
COB_01,COB_01,0.075695037,0.218947274
CoronaryAtherosclerosis_01,CoronaryAtherosclerosis_01,1.381280595,0.590225684
DivD_01,DivD_01,0.358161731,0.505478639
Glaucoma_01,Glaucoma_01,-2.939167564,0.680707932
GORD_01,GORD_01,0.112473126,0.256407357
HairColor_01,HairColor_01,0.766628227,0.137936466
HeartFailure_01,HeartFailure_01,-0.435279855,0.213839301
IBD_02,IBD_02,-0.095968912,1.066443734
IBS_01,IBS_01,0.043504995,0.177303468
IPF_01,IPF_01,0.482066738,1.069860655
LRA_01,LRA_01,0.22934221,0.072856532
LungCancer_01,LungCancer_01,-0.263969026,0.407531623
MDD_02,MDD_02,0.602423207,0.458114031
MDD_03,MDD_03,0.626471895,0.346803114
MDD_04,MDD_04,-0.098520527,0.436457782
MDD_05,MDD_05,-0.414186032,0.350913968
Melanoma_01,Melanoma_01,0.509910658,0.353633411
Migraine_01,Migraine_01,-0.998552827,0.446221637
Migraine_02,Migraine_02,-0.84255314,0.454731884
Parkinsons_01,Parkinsons_01,0.001271481,0.556963215
PBC_01,PBC_01,-0.915961058,1.205897891
PUD_01,PUD_01,0.205269451,0.160458579
SCZ_02,SCZ_02,-2.730987171,1.008665199
SLE_01,SLE_01,-3.084724047,1.468599867
Stroke_01,Stroke_01,-0.963886458,0.185578261
T2D_03,T2D_03,-1.639788888,0.776502525
T2D_06,T2D_06,1.683295636,0.836543098
UC_01,UC_01,-0.298873209,1.009590734
Vitiligo_01,Vitiligo_01,1.41847021,1.51358074
BMD_01,BMD_01,-0.714589192,0.577375174
BMI_01,BMI_01,0.275044821,0.188502857
BMI_02,BMI_02,-0.142714185,0.388292213
BV_01,BV_01,0.161186857,0.277006502
C3_01,C3_01,0.490712129,0.166119867
C4_01,C4_01,-0.104981654,0.613676083
CRP_01,CRP_01,-0.311137289,0.447919691
EA_01,EA_01,0.150723409,0.282607665
EosCnt_01,EosCnt_01,-0.561222122,0.431550952
FastingGlucose_01,FastingGlucose_01,0.295137061,0.141458606
FastingGlucose_02,FastingGlucose_02,0.242033767,0.103376098
FastingInsulin_01,FastingInsulin_01,0.042831397,0.022717334
